Mm_genes,Hs_genes
Tmem70,TMEM70
Crygf,None
Pth2r,PTH2R
Pikfyve,PIKFYVE
Idh1,IDH1
Crygc,CRYGC
Akr1cl,None
Mettl21a,None
Creb1,CREB1
Klf7,KLF7
X4933402D24Rik,None
Fastkd2,FASTKD2
Mdh1b,MDH1B
Adam23,ADAM23
Eef1b2,None
Ndufs1,NDUFS1
Nrp2,NRP2
Maip1,MAIP1
Boll,BOLL
Rftn2,RFTN2
Mob4,MOB4
Hspd1,HSPD1
Coq10b,COQ10B
Sf3b1,SF3B1
Ccdc150,CCDC150
Slc39a10,SLC39A10
Cps1,CPS1
Slc40a1,SLC40A1
Wdr75,WDR75
Ikzf2,IKZF2
Lancl1,LANCL1
Acadl,ACADL
Kansl1l,KANSL1L
Rpe,RPE
Icos,ICOS
Ctla4,CTLA4
Cd28,CD28
Raph1,None
Carf,CARF
Ica1l,ICA1L
Wdr12,WDR12
Nop58,NOP58
Sumo1,SUMO1
Cdk15,CDK15
Als2,ALS2
Stradb,STRADB
Trak2,None
Casp8,CASP8
Cflar,CFLAR
Ndufb3,NDUFB3
Clk1,CLK1
Ppil3,PPIL3
Nif3l1,NIF3L1
Orc2,ORC2
Sgo2a,None
Col5a2,COL5A2
Col3a1,COL3A1
Poglut2,POGLUT2
Ercc5,ERCC5
Tex30,TEX30
Ecrg4,ECRG4
Khdrbs2,KHDRBS2
Slc9a2,None
Pih1d3,None
Ptp4a1,PTP4A1
Slc9a4,SLC9A4
Il18rap,IL18RAP
Il1rl1,IL1RL1
Il18r1,IL18R1
Il1r1,IL1R1
Il1r2,IL1R2
Map4k4,MAP4K4
Npas2,NPAS2
Pdcl3,PDCL3
Chst10,CHST10
Rev1,REV1
Eif5b,EIF5B
Lyg1,LYG1
Mrpl30,MRPL30
Mitd1,MITD1
X2010300C02Rik,None
Stk17b,STK17B
Asnsd1,ASNSD1
Osgepl1,OSGEPL1
Ormdl1,ORMDL1
Pms1,None
Mstn,MSTN
Inpp1,INPP1
Gls,GLS
Stat1,STAT1
Nabp1,NABP1
Tmeff2,TMEFF2
Mgat4a,MGAT4A
Unc50,UNC50
Coa5,COA5
Inpp4a,INPP4A
Cnga3,CNGA3
Tmem131,TMEM131
Zap70,ZAP70
Sema4c,SEMA4C
Plekhb2,PLEKHB2
Cfc1,CFC1B
Prss39,None
Ptpn18,PTPN18
Imp4,IMP4
Dst,DST
Prim2,PRIM2
Zfp142,None
Col19a1,COL19A1
Rhbdd1,RHBDD1
Col9a1,COL9A1
Tm4sf20,TM4SF20
Mff,MFF
Fam135a,FAM135A
Sdhaf4,SDHAF4
Smap1,SMAP1
B3gat2,B3GAT2
Ogfrl1,OGFRL1
Agfg1,AGFG1
Nhej1,NHEJ1
Sphkap,SPHKAP
Ccl20,CCL20
Wnt10a,WNT10A
Cyp27a1,CYP27A1
Rnf25,RNF25
Bcs1l,BCS1L
Plcd4,PLCD4
Cnot9,CNOT9
Vil1,VIL1
Ctdsp1,CTDSP1
Slc11a1,SLC11A1
Pnkd,PNKD
Cxcr2,CXCR2
Ppm1f,PPM1F
Tnp1,TNP1
Igfbp5,IGFBP5
Xrcc5,XRCC5
Tmem169,TMEM169
Pecr,PECR
Atic,ATIC
Fn1,FN1
Bard1,BARD1
Zfand2b,ZFAND2B
Abcb6,ABCB6
Ankzf1,ANKZF1
Glb1l,GLB1L
Stk16,STK16
Tuba4a,TUBA4A
Dnajb2,DNAJB2
Ptprn,PTPRN
Slc23a3,SLC23A3
Speg,SPEG
Des,DES
Dnpep,DNPEP
Obsl1,OBSL1
Stk11ip,STK11IP
Trip12,TRIP12
Slc16a14,SLC16A14
Sp100,SP100
Itm2c,ITM2C
X4933407L21Rik,None
Spata3,SPATA3
X2810459M11Rik,None
Htr2b,HTR2B
Psmd1,PSMD1
Ncl,NCL
Epha4,EPHA4
Nmur1,NMUR1
Ptma,PTMA
Pde6d,PDE6D
Cops7b,COPS7B
Nppc,NPPC
Farsb,FARSB
Alppl2,None
Ecel1,ECEL1
Mrpl44,MRPL44
Serpine2,SERPINE2
Chrnd,CHRND
Chrng,CHRNG
Eif4e2,EIF4E2
Efhd1,EFHD1
Snorc,SNORC
Ngef,NGEF
Ndufa10,NDUFA10
Rnpepl1,RNPEPL1
Capn10,CAPN10
Gpr35,GPR35
Agxt,AGXT
Mterf4,MTERF4
Pask,PASK
Ppp1r7,PPP1R7
Sept2,None
Stk25,STK25
Bok,BOK
Thap4,THAP4
Atg4b,ATG4B
Dtymk,DTYMK
Ing5,ING5
Pdcd1,PDCD1
Inpp5d,INPP5D
Atg16l1,ATG16L1
Spp2,SPP2
Iqca,None
Mlph,MLPH
Rab17,RAB17
Lrrfip1,LRRFIP1
Scly,SCLY
Klhl30,KLHL30
Ilkap,ILKAP
Asb1,ASB1
Cdh7,CDH7
Hdac4,HDAC4
Serpinb8,SERPINB8
Cln8,CLN8
Relch,RELCH
Tnfrsf11a,TNFRSF11A
Htr4,HTR4
Serpinb11,SERPINB11
Slco6c1,None
Gin1,GIN1
Pam,PAM
Slco6d1,None
Ccdc93,CCDC93
Actr3,ACTR3
Slc35f5,SLC35F5
Gpr39,GPR39
Lypd1,LYPD1
Tmem163,TMEM163
Acmsd,ACMSD
Ccnt2,CCNT2
Ubxn4,UBXN4
Lct,None
Mcm6,MCM6
Dars,None
Rgs18,RGS18
Rgs1,RGS1
Rgs2,RGS2
Cdc73,CDC73
Cfh,CFH
F13b,F13B
Tsn,TSN
Nifk,NIFK
Tfcp2l1,TFCP2L1
Epb41l5,EPB41L5
Ptpn4,PTPN4
Dbi,DBI
Sctr,SCTR
X3110009E18Rik,None
Steap3,STEAP3
Marco,MARCO
Nek7,NEK7
Atp6v1g3,ATP6V1G3
Ptprc,PTPRC
Nr5a2,NR5A2
Cd55,CD55
Ddx59,DDX59
C4bp,None
Cacna1s,CACNA1S
Pfkfb2,PFKFB2
Tmem9,TMEM9
Pkp1,PKP1
Tnnt2,TNNT2
Fcamr,FCAMR
Il20,IL20
Pigr,PIGR
Tnni1,TNNI1
Il24,IL24
Csrp1,CSRP1
Gpr37l1,GPR37L1
Srgap2,SRGAP2
Arl8a,ARL8A
Eif2d,EIF2D
Ube2t,UBE2T
Rassf5,RASSF5
Avpr1b,AVPR1B
Rab29,RAB29
Nucks1,NUCKS1
Slc45a3,SLC45A3
Elk4,ELK4
Cdk18,CDK18
Rbbp5,RBBP5
Nfasc,NFASC
Lrrn2,None
Pik3c2b,None
Chit1,CHIT1
Syt2,SYT2
Klhl12,KLHL12
Cyb5r1,CYB5R1
Adipor1,ADIPOR1
Ppfia4,None
Myog,MYOG
Atp2b4,ATP2B4
Tor1aip1,TOR1AIP1
Lhx4,LHX4
Xpr1,XPR1
Stx6,STX6
Mr1,MR1
Glul,GLUL
Rgs16,RGS16
Lamc1,LAMC1
Lamc2,LAMC2
Ncf2,NCF2
Rgl1,RGL1
Fam129a,None
Rnf2,RNF2
Coq8a,COQ8A
Cdc42bpa,CDC42BPA
Ahctf1,AHCTF1
Tfb2m,TFB2M
Kif26b,KIF26B
Efcab2,EFCAB2
Parp1,PARP1
Mixl1,MIXL1
Acbd3,ACBD3
Cox20,COX20
Desi2,DESI2
Sdccag8,SDCCAG8
Capn2,CAPN2
Trp53bp2,None
Srp9,SRP9
Cnih3,CNIH3
Nvl,NVL
Tmem63a,TMEM63A
Pycr2,PYCR2
Wdr64,WDR64
Opn3,OPN3
Fh1,None
Rgs7,RGS7
Mptx1,MPTX1
Spta1,SPTA1
Ifi202b,None
Ifi211,None
Apcs,APCS
Dusp23,DUSP23
Cfap45,None
Tagln2,TAGLN2
Slamf9,SLAMF9
Copa,COPA
Dcaf8,DCAF8
Vangl2,VANGL2
Uck2,UCK2
Fmo9,None
Tada1,TADA1
Dusp27,None
Pou2f1,POU2F1
Mpzl1,MPZL1
Adcy10,ADCY10
Mpc2,MPC2
Dcaf6,DCAF6
Tbx19,TBX19
Xcl1,XCL2
Dpt,DPT
Nme7,NME7
Atp1b1,ATP1B1
Blzf1,BLZF1
Ccdc181,CCDC181
F5,F5
Selp,SELP
Sell,SELL
Sele,SELE
Scyl3,SCYL3
Kifap3,KIFAP3
Prrx1,PRRX1
Astn1,ASTN1
Sec16b,SEC16B
Tex35,TEX35
Ralgps2,RALGPS2
Abl2,ABL2
Soat1,SOAT1
Axdnd1,AXDND1
Nphs2,NPHS2
Smyd2,SMYD2
Ptpn14,PTPN14
Cenpf,None
Kctd3,KCTD3
Ush2a,None
Esrrg,ESRRG
Spata17,SPATA17
Slc30a10,SLC30A10
Eprs,None
Cr2,CR2
Bpnt1,BPNT1
Iars2,IARS2
Mark1,MARK1
Marc1,None
Nek2,NEK2
Lpgat1,LPGAT1
Ppp2r5a,PPP2R5A
Pacc1,PACC1
Atf3,ATF3
Batf3,BATF3
Tatdn3,TATDN3
Angel2,ANGEL2
Traf5,TRAF5
Irf6,IRF6
Lamb3,LAMB3
Plxna2,PLXNA2
Usf1,USF1
Nmt2,NMT2
Acbd7,ACBD7
Olah,OLAH
Suv39h2,SUV39H2
Dclre1c,DCLRE1C
Cfap126,CFAP126
Meig1,MEIG1
Fam107b,FAM107B
Fcgr2b,None
Frmd4a,FRMD4A
Dusp12,DUSP12
Sephs1,SEPHS1
Atf6,ATF6
Phyh,PHYH
Uhmk1,UHMK1
Ucma,UCMA
Mcm10,MCM10
Uap1,UAP1
Optn,OPTN
Ddr2,DDR2
Hsd17b7,HSD17B7
Ccdc3,CCDC3
Rgs5,RGS5
Enkur,ENKUR
Nuf2,NUF2
Lmx1a,LMX1A
Aldh9a1,ALDH9A1
Mgst3,MGST3
Fmo3,FMO3
Fmo4,FMO4
Eef1aknmt,None
Vamp4,VAMP4
Myoc,MYOC
Pigc,PIGC
Tnfsf4,TNFSF4
Prdx6,PRDX6
Klhl20,KLHL20
Nsun6,NSUN6
Cenpl,CENPL
Dars2,DARS2
Mrc1,MRC1
Serpinc1,SERPINC1
Stam,STAM
Rabgap1l,RABGAP1L
Trdmt1,TRDMT1
Tnn,TNN
Cubn,CUBN
Rsu1,RSU1
Vim,VIM
Pter,PTER
X4921504E06Rik,None
Ptf1a,PTF1A
Pip4k2a,PIP4K2A
Bmi1,COMMD3-BMI1
Dnajc1,DNAJC1
Mllt10,MLLT10
Plxdc2,PLXDC2
Nek6,NEK6
Psmb7,PSMB7
Nr5a1,NR5A1
Ppp6c,PPP6C
Golga1,GOLGA1
Arpc5l,ARPC5L
Orc4,ORC4
Kif5c,KIF5C
Lypd6b,LYPD6B
Mmadhc,MMADHC
Mindy3,None
Itga8,ITGA8
Il2ra,IL2RA
Spopl,SPOPL
Pfkfb3,None
Fem1al,None
Yme1l1,YME1L1
Prkcq,PRKCQ
Mastl,MASTL
Acbd5,ACBD5
Abi2,ABI2
Pdss1,PDSS1
Pkn3,PKN3
Apbb1ip,APBB1IP
Gad2,GAD2
Zbtb43,ZBTB43
Odf2,ODF2
Slc2a8,SLC2A8
Lrsam1,LRSAM1
Fam129b,None
Stxbp1,STXBP1
Coq4,COQ4
Med27,MED27
Ttf1,TTF1
Barhl1,BARHL1
Ddx31,DDX31
Ak8,AK8
Spaca9,SPACA9
Dpm2,DPM2
St6galnac6,ST6GALNAC6
Tsc1,TSC1
Eng,ENG
Gfi1b,GFI1B
Gtf3c5,GTF3C5
Ak1,AK1
Cel,CEL
Slc25a25,SLC25A25
Ptges2,PTGES2
Ralgds,RALGDS
Lcn2,LCN2
Kcnj3,KCNJ3
Dnm1,DNM1
Nr4a2,NR4A2
Gpd2,GPD2
Galnt5,GALNT5
Gbgt1,GBGT1
Ermn,ERMN
X1700007K13Rik,None
Cytip,CYTIP
Olfm1,OLFM1
Acvr1c,ACVR1C
Fcnb,None
Acvr1,ACVR1
Col5a1,COL5A1
Upp2,UPP2
Lamc3,LAMC3
Fibcd1,FIBCD1
Abl1,ABL1
Fubp3,None
Tor1b,TOR1B
Tor1a,TOR1A
BC005624,None
Crat,CRAT
Usp20,USP20
Dolpp1,DOLPP1
Ntmt1,NTMT1
Miga2,MIGA2
Sh3glb2,SH3GLB2
Hspa5,HSPA5
Kynu,KYNU
Gapvd1,GAPVD1
Psmd5,PSMD5
Cutal,None
Zeb2,ZEB2
Phf19,PHF19
Hc,None
Traf1,TRAF1
Rab14,RAB14
Gsn,GSN
Stom,STOM
X4930568D16Rik,None
Dab2ip,DAB2IP
Ttll11,TTLL11
Mrrf,MRRF
Grb14,GRB14
Rbm18,RBM18
Lhx6,LHX6
Gca,GCA
Morn5,MORN5
Ndufa8,NDUFA8
Ifih1,IFIH1
Slc4a10,SLC4A10
Psmd14,PSMD14
Strbp,STRBP
Wdr5,WDR5
Brd3,BRD3
Lcn4,None
Egfl7,EGFL7
Agpat2,AGPAT2
Notch1,NOTCH1
Sec16a,SEC16A
Inpp5e,INPP5E
Pmpca,PMPCA
Entr1,ENTR1
Card9,CARD9
Gpsm1,GPSM1
X1700019N19Rik,None
Nacc2,NACC2
Camsap1,CAMSAP1
Lhx3,LHX3
Lcn3,None
Lcn5,None
Fcna,None
Tmem141,TMEM141
Ccdc183,CCDC183
Mamdc4,MAMDC4
Traf2,TRAF2
Lcn12,LCN12
Abca2,ABCA2
Nmi,NMI
Neb,None
Sapcd2,SAPCD2
Uap1l1,UAP1L1
Dpp7,DPP7
Grin1,GRIN1
Arl6ip6,ARL6IP6
Lrrc26,LRRC26
Tmem210,TMEM210
Anapc2,ANAPC2
Ssna1,SSNA1
Fam166a,FAM166A
Rbms1,RBMS1
Itgb6,ITGB6
Arrdc1,ARRDC1
Zmynd19,ZMYND19
Dph7,DPH7
Pax8,PAX8
March7,None
Psd4,PSD4
Ly75,LY75
Il1rn,IL1RN
Il1f5,None
Il1f6,None
Il1f8,None
Hnmt,HNMT
Baz2b,None
Wdsub1,WDSUB1
Dapl1,DAPL1
Pkp4,PKP4
Galnt3,GALNT3
Nup35,NUP35
Dusp19,DUSP19
Nckap1,NCKAP1
Frzb,FRZB
Dnajc10,DNAJC10
Itprid2,ITPRID2
Itga4,ITGA4
Slc25a12,SLC25A12
Ube2e3,UBE2E3
Dync1i2,DYNC1I2
Cwc22,CWC22
Cybrd1,CYBRD1
Zfp385b,None
Hat1,HAT1
Xirp2,XIRP2
Stk39,STK39
Cers6,CERS6
Abcb11,ABCB11
Ssrp1,SSRP1
Dhrs9,DHRS9
Lrp2,LRP2
P2rx3,P2RX3
Prg3,PRG3
Prg2,PRG2
Slc43a3,SLC43A3
Slc43a1,SLC43A1
Timm10,TIMM10
Smtnl1,SMTNL1
Ube2l6,UBE2L6
Clp1,CLP1
Med19,MED19
Tfpi,TFPI
Fastkd1,FASTKD1
Itgav,ITGAV
Phospho2,PHOSPHO2
Zc3h15,ZC3H15
Mtx2,MTX2
Hoxd8,HOXD8
Atf2,ATF2
Chrna1,CHRNA1
Ola1,OLA1
Sp3,SP3
Itga6,ITGA6
Kif18a,KIF18A
Fshb,FSHB
Arl14ep,ARL14EP
Slc12a6,SLC12A6
Emc4,EMC4
Katnbl1,KATNBL1
Nop10,NOP10
Lpcat4,LPCAT4
A26c3,None
Ccdc34,CCDC34
Lin7c,LIN7C
Commd9,COMMD9
Traf6,TRAF6
B230118H07Rik,None
Dnajc24,DNAJC24
Elp4,ELP4
Pax6,PAX6
Eif3m,EIF3M
Prrg4,PRRG4
Depdc7,DEPDC7
Tcp11l1,TCP11L1
Cstf3,CSTF3
Hipk3,HIPK3
Fbxo3,FBXO3
Caprin1,CAPRIN1
Nat10,NAT10
Elf5,ELF5
Cat,CAT
Pamr1,PAMR1
Trim44,TRIM44
Api5,API5
Ttc17,TTC17
Hsd17b12,HSD17B12
Ext2,EXT2
Gatm,GATM
Sema6d,SEMA6D
Myef2,MYEF2
Slc12a1,SLC12A1
Dut,None
Fbn1,FBN1
Cops2,COPS2
Galk2,GALK2
Fgf7,FGF7
Fam227b,FAM227B
Meis2,MEIS2
Cd82,CD82
Tspan18,TSPAN18
Slc28a2,SLC28A2
Syt13,SYT13
Chst1,CHST1
Pex16,PEX16
Mapk8ip1,MAPK8IP1
Duoxa1,DUOXA1
Duoxa2,DUOXA2
Sord,SORD
Terb2,TERB2
Creb3l1,CREB3L1
Patl2,PATL2
Eif3j1,EIF3J
Frmd5,FRMD5
Mdk,MDK
Wdr76,WDR76
Harbi1,HARBI1
Atg13,ATG13
Hypk,HYPK
Ell3,ELL3
Arhgap1,ARHGAP1
Pdia3,PDIA3
F2,F2
Lrp4,LRP4
Map1a,MAP1A
Arfgap2,ARFGAP2
Pacsin3,PACSIN3
Adal,ADAL
Hao1,HAO1
Tubgcp4,TUBGCP4
Lamp5,LAMP5
Ubr1,UBR1
Snap25,SNAP25
Mkks,MKKS
Jag1,JAG1
Slx4ip,SLX4IP
Mtch2,MTCH2
Cdan1,CDAN1
Haus2,HAUS2
Lrrc57,LRRC57
Snap23,SNAP23
Zfp106,None
Vps39,VPS39
Ehd4,EHD4
Itpka,ITPKA
Ltk,LTK
Tyro3,TYRO3
Ubox5,UBOX5
Oxt,OXT
Ptpra,PTPRA
Rtf1,RTF1
Ndufaf1,NDUFAF1
Nusap1,NUSAP1
X4930402H24Rik,None
Atrn,ATRN
Chac1,CHAC1
Dll4,DLL4
Spint1,SPINT1
Gfra4,GFRA4
Ppp1r14d,PPP1R14D
Adam33,ADAM33
Siglec1,SIGLEC1
Rad51,RAD51
Rpusd2,RPUSD2
Knl1,KNL1
X1700037H04Rik,None
Spef1,SPEF1
Cdc25b,CDC25B
Knstrn,KNSTRN
Ivd,IVD
Smox,SMOX
Adra1d,ADRA1D
Prnd,PRND
Rassf2,RASSF2
Slc23a2,SLC23A2
Tmem230,TMEM230
Pcna,PCNA
Fsip1,FSIP1
Gpcpd1,GPCPD1
Rasgrp1,RASGRP1
Fam98b,FAM98B
Chgb,CHGB
Spred1,SPRED1
Mcm8,MCM8
Tmco5,None
Fermt1,FERMT1
Crls1,CRLS1
Bmp2,BMP2
Slc27a2,SLC27A2
Hdc,HDC
Gabpb1,GABPB1
Usp8,USP8
Usp50,USP50
Trpm7,TRPM7
Sppl2a,SPPL2A
Stard7,STARD7
Dusp2,DUSP2
Fahd2a,None
Mrps5,MRPS5
Mal,MAL
Prom2,PROM2
Mall,MALL
Nphp1,NPHP1
Bub1,BUB1
Acoxl,ACOXL
Bcl2l11,BCL2L11
Ndufaf5,NDUFAF5
Fbln7,FBLN7
Zc3h8,ZC3H8
Ttl,TTL
Polr1b,POLR1B
Slc20a1,SLC20A1
Il1b,IL1B
Il1a,IL1A
Pdyn,PDYN
Tgm3,TGM3
Tgm6,None
Snrpb,SNRPB
Nop56,NOP56
Idh3b,None
Cpxm1,CPXM1
X1700020A23Rik,None
Vps16,VPS16
Lpin3,LPIN3
Otor,OTOR
Pcsk2,PCSK2
Bfsp1,BFSP1
Rrbp1,RRBP1
Snx5,SNX5
Mgme1,MGME1
Kat14,KAT14
Polr3f,POLR3F
Rbbp9,RBBP9
Sec23b,SEC23B
Dtd1,DTD1
Scp2d1,SCP2D1
Xrn2,XRN2
Nkx2.2,None
Cd93,CD93
Napb,NAPB
Gzf1,GZF1
Cst8,CST8
Cst12,CST12P
Cstdc1,None
Cst9,CST9L
Cstdc2,None
Cst3,CST3
Acss1,ACSS1
Gins1,GINS1
Nsfl1c,NSFL1C
Sdcbp2,SDCBP2
Snph,SNPH
Fam110a,FAM110A
Angpt4,ANGPT4
Slc52a3,SLC52A3
Tbc1d20,TBC1D20
Rbck1,RBCK1
Defb22,DEFB126
Tpx2,TPX2
Mylk2,MYLK2
Pdrg1,PDRG1
Ccm2l,CCM2L
Kif3b,KIF3B
Dnmt3b,DNMT3B
Mapre1,MAPRE1
Sun5,SUN5
Bpifb2,BPIFB2
Bpifa3,BPIFA3
Bpifa1,BPIFA1
Bpifa5,None
Bpifb1,BPIFB1
Cdk5rap1,CDK5RAP1
Snta1,SNTA1
Necab3,NECAB3
E2f1,E2F1
Fam210b,FAM210B
Aurka,AURKA
Cstf1,CSTF1
Pkia,PKIA
Stmn2,STMN2
Rtf2,RTF2
Fam209,None
Tpd52,TPD52
Pag1,PAG1
Rae1,RAE1
Rbm38,RBM38
Pck1,PCK1
Zbp1,ZBP1
Ankrd60,None
X1700021F07Rik,None
Rab22a,RAB22A
Zdbf2,ZDBF2
Stx16,STX16
Gnas,GNAS
Edn3,EDN3
Phactr3,PHACTR3
Fabp9,FABP9
Fabp12,FABP12
Impa1,IMPA1
Fabp5,FABP5
Snx16,SNX16
Chmp4c,CHMP4C
Ptpn1,PTPN1
Nfatc2,NFATC2
Atp9a,ATP9A
Sall4,SALL4
Lrrcc1,LRRCC1
Zfp64,ZFP64
E2f5,E2F5
Car13,None
Car1,None
Car3,None
Dok5,DOK5
Car2,None
Cypt12,None
Psma7,PSMA7
Ntsr1,NTSR1
Mrgbp,MRGBP
Col9a3,None
Gid8,GID8
Nkain4,NKAIN4
Arfgap1,ARFGAP1
Chrna4,CHRNA4
Srms,SRMS
Helz2,HELZ2
Stmn3,STMN3
Zgpat,ZGPAT
Zbtb46,ZBTB46
Oprl1,OPRL1
Pcmtd2,PCMTD2
Raly,RALY
a,None
Ahcy,AHCY
Itch,ITCH
Armc1,ARMC1
Mtfr1,MTFR1
Map1lc3a,MAP1LC3A
Ggt7,GGT7
Acss2,ACSS2
Dnajc5b,DNAJC5B
Gss,GSS
Procr,PROCR
Mmp24,MMP24
Eif6,EIF6
Hps3,HPS3
Nfs1,NFS1
Rbm39,RBM39
Epb41l1,EPB41L1
Aar2,AAR2
Tbl1xr1,TBL1XR1
Ndrg3,NDRG3
Dsn1,DSN1
Sla2,SLA2
Rab5if,RAB5IF
Samhd1,SAMHD1
Rbl1,RBL1
Rpn2,RPN2
Ghrh,GHRH
Src,SRC
Ctnnbl1,CTNNBL1
Tti1,TTI1
Rprd1b,RPRD1B
Ralgapb,RALGAPB
Fam83d,FAM83D
Dhx35,None
Ccn5,CCN5
Skil,SKIL
Slc2a10,SLC2A10
Zmat3,ZMAT3
Pik3ca,PIK3CA
Zfp639,None
Mfn1,MFN1
Gnb4,GNB4
Ocstamp,OCSTAMP
Actl6a,ACTL6A
Ndufb5,NDUFB5
Pex5l,PEX5L
Ccdc39,CCDC39
Ttc14,TTC14
Ncoa3,NCOA3
Dnajc19,DNAJC19
Fxr1,FXR1
Mecom,MECOM
Slc2a2,SLC2A2
Tnik,TNIK
Pld1,PLD1
Nceh1,NCEH1
Ect2,ECT2
Lrrc34,LRRC34
Lrriq4,LRRIQ4
Sec62,SEC62
Dcun1d1,DCUN1D1
Mccc1,MCCC1
Acad9,ACAD9
Anxa5,ANXA5
X1810062G17Rik,None
Exosc9,EXOSC9
Ccna2,CCNA2
Trpc3,TRPC3
Il21,IL21
Adad1,ADAD1
Il2,IL2
Spata5,SPATA5
Slc7a11,SLC7A11
Rab33b,RAB33B
Cog6,COG6
Stoml3,STOML3
Ufm1,UFM1
Trpc4,TRPC4
Postn,POSTN
Supt20,None
Exosc8,EXOSC8
Aadac,AADAC
Sucnr1,SUCNR1
Mbnl1,MBNL1
P2ry1,P2RY1
Dhx36,DHX36
Gfm1,GFM1
Mfsd1,MFSD1
Il12a,IL12A
Schip1,SCHIP1
Ift80,IFT80
Kpna4,KPNA4
Ppm1l,PPM1L
Nmd3,NMD3
Otol1,OTOL1
Sis,None
Bche,BCHE
Ccna1,CCNA1
Sohlh2,SOHLH2
Smad9,SMAD9
Dclk1,DCLK1
Nbea,NBEA
Tm4sf1,TM4SF1
Tm4sf4,TM4SF4
Wwtr1,WWTR1
Ppid,PPID
Pfn2,PFN2
Tsc22d2,None
Serp1,SERP1
Etfdh,ETFDH
Eif2a,EIF2A
X4930579G24Rik,None
Mme,MME
Slc33a1,SLC33A1
Gmps,GMPS
Vmn2r1,None
Kcnab1,KCNAB1
Ssr3,SSR3
Ccnl1,CCNL1
Veph1,VEPH1
Ptx3,PTX3
Shox2,SHOX2
Serpini1,SERPINI1
Pdcd10,PDCD10
Wnt2b,WNT2B
Ptpn22,PTPN22
Dclre1b,DCLRE1B
Olfml3,OLFML3
Syt6,SYT6
Nras,NRAS
Sike1,SIKE1
Sycp1,SYCP1
Tshb,TSHB
Tspan2,TSPAN2
Ngf,NGF
Vangl1,VANGL1
Casq2,CASQ2
Cd2,CD2
Ptgfrn,PTGFRN
Gdap2,GDAP2
Spag17,SPAG17
Tbx15,TBX15
Hsd3b6,HSD3B2
Hao2,HAO2
Hmgcs2,HMGCS2
Reg4,REG4
Notch2,NOTCH2
Sec22b,SEC22B
Slc25a54,None
Prpf38b,PRPF38B
Stxbp3,STXBP3
Gpsm2,GPSM2
Clcc1,CLCC1
X1700013F07Rik,None
Sypl2,SYPL2
Ampd2,AMPD2
Gstm4,GSTM4
Ahcyl1,AHCYL1
Slc6a17,SLC6A17
Kcnc4,KCNC4
Slc16a4,SLC16A4
Dram2,DRAM2
Dennd2d,DENND2D
Chil6,None
Ddx20,DDX20
S100a11,S100A11
Tchhl1,TCHHL1
Lce1m,None
Crct1,None
Lce1g,None
Lce1b,None
Sprr2j.ps,None
Lelp1,LELP1
Npr1,NPR1
Slc27a3,SLC27A3
Ints3,INTS3
Rab13,RAB13
Crtc2,CRTC2
Jtb,JTB
Creb3l4,CREB3L4
Nup210l,NUP210L
Tpm3,TPM3
X1700094D03Rik,None
Hax1,HAX1
Il6ra,IL6R
Chrnb2,CHRNB2
Adar,ADAR
Pmvk,PMVK
Slc50a1,SLC50A1
Efna1,EFNA1
Gask1b,None
Tmem144,TMEM144
Slc35a3,SLC35A3
Sass6,SASS6
Lrrc39,LRRC39
Vcam1,VCAM1
Extl2,EXTL2
Olfm3,OLFM3
Col11a1,COL11A1
Neurog2,NEUROG2
Larp7,LARP7
Ndst4,NDST4
X1700006A11Rik,None
Ndst3,NDST3
Prss12,PRSS12
Rnpc3,RNPC3
Cyp2u1,CYP2U1
Hadh,HADH
Lef1,LEF1
Trim2,TRIM2
Mcub,MCUB
Tlr2,TLR2
Sfrp2,SFRP2
Casp6,CASP6
Plrg1,PLRG1
Pla2g12a,PLA2G12A
Fga,FGA
Lrat,LRAT
Npy2r,NPY2R
Gucy1b1,GUCY1B1
Snx7,SNX7
Asic5,ASIC5
Gar1,GAR1
Tdo2,TDO2
Rrh,RRH
Ppa2,PPA2
Ctso,CTSO
Ints12,INTS12
Egf,EGF
Gstcd,GSTCD
Pdgfc,PDGFC
Glrb,GLRB
Pitx2,PITX2
Enpep,ENPEP
Alpk1,ALPK1
Aimp1,AIMP1
Tbck,TBCK
Dkk2,DKK2
Papss1,PAPSS1
Kcnq5,KCNQ5
Fubp1,FUBP1
Dnajb4,DNAJB4
Ptgfr,PTGFR
Ifi44,IFI44
Efna3,EFNA3
Efna4,EFNA4
Adam15,ADAM15
Zbtb7b,ZBTB7B
Cks1b,CKS1B
Thbs3,THBS3
Gba,GBA
Scamp3,SCAMP3
Hcn3,HCN3
Ash1l,ASH1L
Rit1,RIT1
Arhgef2,ARHGEF2
Khdc4,KHDC4
Lamtor2,LAMTOR2
Lmna,LMNA
Sema4a,SEMA4A
Pmf1,PMF1-BGLAP
Iqgap3,None
Gpatch4,GPATCH4
Naxe,NAXE
Sh2d2a,SH2D2A
Ntrk1,NTRK1
Pear1,PEAR1
Cd1d1,CD1D
Dclk2,DCLK2
Lrba,LRBA
Rps3a1,None
Sh3d19,SH3D19
Gatb,GATB
Fbxw7,FBXW7
Fmo5,FMO5
Chd1l,CHD1L
Acp6,ACP6
Gpr89,GPR89B
Rnf115,RNF115
Polr3c,POLR3C
Nudt17,NUDT17
Pias3,PIAS3
Pex11b,PEX11B
Polr3gl,POLR3GL
Rprd2,RPRD2
Tars2,TARS2
Ecm1,ECM1
Hormad1,HORMAD1
